INDLABEL,LONG,LAT
G0153,125.59,-17.051
G0185,125.59,-17.051
G0193,125.59,-17.051
G0206,125.59,-17.051
G0248,125.59,-17.051
G0264,125.59,-17.051
G0300,125.59,-17.051
G0774,125.59,-17.051
G101,125.59,-17.051
G107,125.59,-17.051
G111,125.59,-17.051
G115,125.59,-17.051
G118,125.59,-17.051
G131,125.59,-17.051
G133,125.59,-17.051
G163,125.59,-17.051
G169,125.59,-17.051
G183,125.59,-17.051
G250,127.506,-15.822
G276,127.506,-15.822
G294,127.506,-15.822
HV01,127.885,-15.854
HV02,127.885,-15.854
HV03,127.885,-15.854
HV04,127.813,-15.677
KA01,128.636,-15.754
KA02,128.636,-15.754
KA03,128.636,-15.754
KA04,128.636,-15.754
KA05,128.636,-15.754
KA06,128.636,-15.754
KA07,128.636,-15.754
KA08,128.636,-15.754
KA09,128.636,-15.754
KA10,128.636,-15.754
KA11,128.636,-15.754
KA12,128.636,-15.754
KA13,128.636,-15.754
KA14,128.636,-15.754
KA15,128.636,-15.754
KA16,128.636,-15.754
KA17,128.636,-15.754
KP01,131.226,-12.679
KP03,131.226,-12.679
KP04,131.226,-12.679
KR01,129.037,-15.978
KR02,129.037,-15.978
KR03,129.037,-15.978
KR04,129.037,-15.978
KR05,129.037,-15.978
KR06,129.037,-15.978
KR07,129.037,-15.978
KR08,129.037,-15.978
KR09,129.037,-15.978
KR10,129.037,-15.978
KR11,129.107,-15.795
KR12,129.107,-15.795
KR13,129.107,-15.795
KR14,129.107,-15.795
KR15,129.107,-15.795
KR16,129.107,-15.795
KR17,129.107,-15.795
KR18,129.107,-15.795
KR19,129.107,-15.795
KR20,129.107,-15.795
KR21,129.107,-15.795
KR22,129.107,-15.795
KR23,129.107,-15.795
KR24,129.107,-15.795
KR25,129.107,-15.795
KR26,129.107,-15.795
KR27,129.107,-15.795
KR28,129.107,-15.795
KR29,129.107,-15.795
KR30,129.107,-15.795
KR31,129.107,-15.795
KR32,129.107,-15.795
KR33,129.107,-15.795
KR34,129.107,-15.795
KR35,129.107,-15.795
KR36,129.107,-15.795
KR37,129.107,-15.795
KR38,129.107,-15.795
KR39,129.107,-15.795
KR40,129.107,-15.795
KR41,129.107,-15.795
KR42,129.107,-15.795
KR43,129.107,-15.795
KR44,129.107,-15.795
KR45,129.107,-15.795
KR46,129.107,-15.795
KR47,129.107,-15.795
KR48,129.107,-15.795
KR49,129.107,-15.795
KR50,129.107,-15.795
KS04,130.885,-16.106
KS05,130.885,-16.106
KS06,130.885,-16.106
KS07,130.885,-16.106
KS08,130.885,-16.106
KS09,130.885,-16.106
KS10,130.885,-16.106
KS11,130.885,-16.106
KS12,130.885,-16.106
KS13,130.885,-16.106
KS14,130.885,-16.106
KS15,130.885,-16.106
KS16,130.885,-16.106
KS17,130.885,-16.106
KS18,130.885,-16.106
KU01,128.67,-15.626
KU02,128.67,-15.626
LA01,128.749,-16.109
LA02,128.749,-16.109
LA03,128.749,-16.109
LA04,128.749,-16.109
LA05,128.749,-16.109
LA06,128.749,-16.109
LA07,128.749,-16.109
LA08,128.749,-16.109
LA09,128.749,-16.109
LA10,128.749,-16.109
LA11,128.749,-16.109
LA12,128.749,-16.109
LA13,128.749,-16.109
LA14,128.749,-16.109
LA15,128.749,-16.109
LA16,128.749,-16.109
LA17,128.749,-16.109
LA18,128.749,-16.109
LA19,128.749,-16.109
LA20,128.749,-16.109
LA21,128.749,-16.109
LA22,128.749,-16.109
LA23,128.749,-16.109
LA24,128.749,-16.109
LA25,128.749,-16.109
LA26,128.749,-16.109
LA27,128.749,-16.109
LA28,128.749,-16.109
LA29,128.749,-16.109
LA30,128.749,-16.109
LA31,128.749,-16.109
LA32,128.749,-16.109
LA33,128.749,-16.109
LA34,128.749,-16.109
LA35,128.749,-16.109
LA36,128.749,-16.109
LA37,128.749,-16.109
LA38,128.749,-16.109
LA39,128.749,-16.109
LA40,128.749,-16.109
LA41,128.749,-16.109
LA42,128.749,-16.109
LH01,139.736,-20.263
LH02,139.736,-20.263
LH03,139.736,-20.263
LH04,139.736,-20.263
LH05,139.736,-20.263
LH06,139.736,-20.263
LH07,139.736,-20.263
LH08,139.736,-20.263
LH09,139.736,-20.263
LH10,139.736,-20.263
LH11,139.736,-20.263
LH12,139.736,-20.263
LH13,139.736,-20.263
LH15,139.736,-20.263
LS01,135.629,-15.624
LS02,135.629,-15.624
LS03,135.629,-15.624
MA01,135.869,-16.508
MA04,135.869,-16.508
MA05,135.869,-16.508
MA06,135.869,-16.508
MA07,135.869,-16.508
MA08,135.869,-16.508
MA09,135.869,-16.508
MA10,135.869,-16.508
MA11,135.869,-16.508
MA12,135.869,-16.508
MA13,135.869,-16.508
MA14,135.869,-16.508
MA15,135.869,-16.508
MF20,128.142,-15.587
MH01,125.59,-17.051
MH02,125.59,-17.051
MH03,125.59,-17.051
MH04,125.59,-17.051
MH05,125.59,-17.051
MH06,125.59,-17.051
MH07,125.59,-17.051
MH08,125.59,-17.051
MH09,125.59,-17.051
MH10,125.59,-17.051
MO01,131.426,-16.059
MO02,131.426,-16.059
MO03,131.426,-16.059
MO04,131.426,-16.059
MO05,131.426,-16.059
MO06,131.426,-16.059
MO07,131.426,-16.059
MO08,131.426,-16.059
MO09,131.426,-16.059
MY01,133.402,-15.832
MY02,133.402,-15.832
MY03,133.402,-15.832
MY04,133.402,-15.832
MY05,133.402,-15.832
MY06,133.402,-15.832
MY07,133.402,-15.832
MY08,133.402,-15.832
MY09,133.402,-15.832
MY10,133.402,-15.832
MY11,133.402,-15.832
MY12,133.402,-15.832
MY13,133.402,-15.832
MY14,133.402,-15.832
MY15,133.402,-15.832
ND01,129.031,-16.042
ND02,129.031,-16.042
ND03,129.031,-16.042
ND04,129.031,-16.042
ND05,129.031,-16.042
ND06,129.031,-16.042
ND07,129.031,-16.042
ND08,129.031,-16.042
NL01,127.506,-15.822
NL02,127.506,-15.822
NL03,127.506,-15.822
NL04,127.506,-15.822
NL05,127.506,-15.822
NL07,127.506,-15.822
NL08,127.506,-15.822
NL09,127.506,-15.822
NL10,127.506,-15.822
NL12,127.506,-15.822
NL13,127.506,-15.822
NL14,127.506,-15.822
NL15,127.506,-15.822
NL16,127.506,-15.822
NL17,127.506,-15.822
NL18,127.506,-15.822
NL19,127.506,-15.822
NL20,127.506,-15.822
NL21,127.506,-15.822
NL38,127.506,-15.822
NL41,127.506,-15.822
NL42,127.506,-15.822
NL51,127.506,-15.822
NL54,127.506,-15.822
NL59,127.506,-15.822
NL62,127.506,-15.822
NL63,127.506,-15.822
NL64,127.506,-15.822
NW01,129.088,-16.067
NW02,129.088,-16.067
NW03,129.088,-16.067
NW04,129.088,-16.067
NW05,129.088,-16.067
NW06,129.088,-16.067
NW07,129.088,-16.067
NW08,129.088,-16.067
NW09,129.088,-16.067
NW10,129.088,-16.067
NW11,129.088,-16.067
NW12,129.088,-16.067
NW13,129.088,-16.067
NW14,129.088,-16.067
NW15,129.088,-16.067
NW16,129.088,-16.067
OC01,134.86,-16.631
OC02,134.86,-16.631
OC03,134.86,-16.631
OC04,134.86,-16.631
OC05,134.86,-16.631
OC07,134.86,-16.631
OC09,134.86,-16.631
OC10,134.86,-16.631
OC11,134.86,-16.631
OC12,134.86,-16.631
OC13,134.86,-16.631
OC14,134.86,-16.631
PA01,130.26,-15.636
PA02,130.26,-15.636
PA03,130.26,-15.636
PA04,130.26,-15.636
PA05,130.26,-15.636
PA06,130.26,-15.636
PA07,130.26,-15.636
PA08,130.26,-15.636
PA10,130.26,-15.636
PA11,130.26,-15.636
PR01,134.364,-14.757
PR02,134.364,-14.757
PR03,134.364,-14.757
SP01,128.798,-16.941
SP02,128.798,-16.941
SP03,128.798,-16.941
SP04,128.798,-16.941
SP05,128.798,-16.941
SP06,128.798,-16.941
SP07,128.798,-16.941
SP08,128.798,-16.941
SP09,128.798,-16.941
SP10,128.798,-16.941
SP12,128.798,-16.941
SP13,128.798,-16.941
SP14,128.798,-16.941
SP15,128.798,-16.941
SP16,128.798,-16.941
SP17,128.798,-16.941
SP18,128.798,-16.941
SP19,128.798,-16.941
SP20,128.798,-16.941
SP21,128.798,-16.941
SP22,128.798,-16.941
SP23,128.798,-16.941
SP24,128.798,-16.941
SP26,128.798,-16.941
SP27,128.798,-16.941
SP28,128.798,-16.941
SP29,128.798,-16.941
SP30,128.798,-16.941
SP31,128.798,-16.941
SP32,128.798,-16.941
SP33,128.798,-16.941
SP34,128.798,-16.941
SP35,128.798,-16.941
SP36,128.798,-16.941
SP37,128.798,-16.941
SP38,128.798,-16.941
SP39,128.798,-16.941
SP40,128.798,-16.941
SP41,128.798,-16.941
SP42,128.798,-16.941
SP43,128.798,-16.941
SP44,128.798,-16.941
SP45,128.798,-16.941
SP46,128.798,-16.941
SP47,128.798,-16.941
SP48,128.798,-16.941
SP49,128.798,-16.941
SP50,128.798,-16.941
SP51,128.798,-16.941
SP52,128.798,-16.941
SP53,128.798,-16.941
SP54,128.798,-16.941
SP55,128.798,-16.941
SP56,128.798,-16.941
SP57,128.798,-16.941
SP58,128.798,-16.941
SP59,128.798,-16.941
SP60,128.798,-16.941
SP61,128.798,-16.941
SP62,128.798,-16.941
SP63,128.798,-16.941
